UID,Drug_Name,Condition,Rating
7hkowm2y,Benzoyl peroxide / clindamycin,Acne,2
6ct748ek,Trazodone,Insomnia,9
w0mt034a,Tizanidine,Muscle Spasm,9
566pbuic,Mometasone,Eczema,10
tj21zcod,Phentermine,Weight Loss,10
c4u0gxp5,Reglan,Migraine,10
6r08hj06,Copper,Birth Control,10
5zukxemu,Bupropion,Depression,9
e9nz2rpb,Medroxyprogesterone,Abnormal Uterine Bleeding,4
uylj9uut,Phenylephrine,Nasal Congestion,10
kyrkx2ii,Etonogestrel,Birth Control,9
nhidl6hd,Azithromycin,Chlamydia Infection,7
6yinwbfh,Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,10
2lt2coyf,Vilazodone,Depression,3
njmoboac,VESIcare,Overactive Bladde,10
er6q40d3,Flonase,Rhinitis,10
04jwam92,Dexmethylphenidate,ADHD,9
g1vsk5de,Loestrin 24 Fe,Acne,9
bfvs5b87,Kapidex,GERD,10
5ha2ryv2,Varenicline,Smoking Cessation,10
z1du5gsp,Errin,Birth Control,6
lpowhp6b,Lomotil,Diarrhea,9
wysmun66,Meloxicam,Inflammatory Conditions,8
63aoc5vp,Clomid,emale Infertility,7
fcd07krs,Clozapine,Schizophrenia,8
m5k28kbu,Olopatadine,Seasonal Allergic Conjunctivitis,9
op98hkh9,Pregabalin,ibromyalgia,8
3gnjibex,Ciprofloxacin,Sinusitis,6
374wyw92,Lurasidone,Bipolar Disorde,10
z7692na5,Doxycycline,Urinary Tract Infection,10
ekc1tkyt,Metronidazole,Diverticulitis,5
53pkdyn8,Medroxyprogesterone,Birth Control,1
pieqxttn,Narcan Injection,Opioid Overdose,10
8nbb0bqy,Mirabegron,Overactive Bladde,10
f7dailgd,Hydroxychloroquine,Systemic Lupus Erythematosus,10
9j9v4g1p,Wellbutrin SR,ADHD,10
5l6c0it4,Bupropion / naltrexone,Weight Loss,1
ekbi2fg9,Ethinyl estradiol / norethindrone,Birth Control,8
95av20uc,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,1
xioiph83,Nitrofurantoin,Urinary Tract Infection,1
op0p7cxs,Humira,Ulcerative Colitis,1
qc17no6c,Nexplanon,Birth Control,9
xr10bl7r,Plan B One-Step,Emergency Contraception,10
khpobojv,Tramadol,Pain,2
69toerzi,Exenatide,"Diabetes, Type 2",8
8apepcdk,Epiduo,Acne,9
0y122bxf,Valsartan,High Blood Pressure,6
0gier0lu,Cyclobenzaprine,,1
gr9l1uja,Moxifloxacin,"Conjunctivitis, Bacterial",10
i3nepcha,Tinidazole,Bacterial Vaginitis,8
bfftrrss,Saxenda,Obesity,10
dj9rs6me,Loestrin 24 Fe,Birth Control,10
5dqrhssw,Citalopram,Anxiety and Stress,8
pwvcwlh8,Asenapine,Post Traumatic Stress Disorde,10
q52upndx,Lexapro,Anxiety,10
tvbnv5gz,Ethinyl estradiol / norethindrone,Birth Control,10
xuiswu2l,Uribel,Urinary Tract Infection,6
475nei28,Penicillin VK,Bacterial Infection,4
p370gjjn,Alprazolam,Panic Disorde,6
5dle3e3c,Etonogestrel,Birth Control,9
e5nxkvo7,Ethinyl estradiol / etonogestrel,Birth Control,3
zel9a3u6,Bupropion / naltrexone,Weight Loss,9
afek8kgr,Ondansetron,Nausea/Vomiting,9
ewcv8m06,Trintellix,Depression,9
plp5sxyl,Aviane,Birth Control,9
2wg14ilf,Ethinyl estradiol / etonogestrel,Birth Control,8
2tu707ng,Clonazepam,Insomnia,1
p7ifetgw,Suprep Bowel Prep Kit,Bowel Preparation,1
iomao9a7,Oxymetazoline,Rosacea,9
j2tm0ji5,EpiCeram,Dry Skin,10
o0xwhm57,Ethinyl estradiol / norgestimate,Birth Control,5
e4c26nn9,Ledipasvir / sofosbuvir,Hepatitis C,10
2ftw85xw,Pregabalin,Pain,10
tvyyyxiu,Gabapentin,Spondylolisthesis,4
2sywbgje,Miconazole,Vaginal Yeast Infection,10
fw9jpkdq,Ethinyl estradiol / levonorgestrel,Birth Control,3
2tl0mtb8,Nuvigil,Shift Work Sleep Disorde,4
1s2zsqoq,Levonorgestrel,Birth Control,10
a9clzlzb,Valacyclovir,Cold Sores,10
5trqi9tp,Escitalopram,Anxiety,10
zknmfgsh,Phentermine / topiramate,Weight Loss,1
lxi6o21j,Topamax,Migraine Prevention,9
o8j17zzs,Implanon,Birth Control,6
20ky3t6y,Temazepam,Insomnia,10
m4u96x2v,Oxybutynin,Overactive Bladde,9
1qjwyxes,Levonorgestrel,Birth Control,8
1hwcp09t,Acetaminophen / aspirin / caffeine,Migraine,8
ar1nppy4,Myrbetriq,Overactive Bladde,4
rql9fjug,Levonorgestrel,Birth Control,1
uz6usokd,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,8
frkk6w0a,Ortho Evra,Birth Control,8
lcpk5se4,Ethinyl estradiol / norethindrone,Birth Control,8
lff5cajm,Epclusa,Hepatitis C,10
p15dy31e,Cipro,Sinusitis,1
nrj4aysh,Levonorgestrel,Emergency Contraception,10
4jky78sl,Dalfampridine,Multiple Sclerosis,1
6o8dt2bg,OnabotulinumtoxinA,Migraine Prevention,9
mio282vy,Levonorgestrel,Birth Control,1
bgh729s5,Desogestrel / ethinyl estradiol,Birth Control,7
08d5cdf4,Ethinyl estradiol / norethindrone,Birth Control,8
41ogljo8,Ethinyl estradiol / norgestimate,Birth Control,9
fv4qonnf,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,10
qpcvxwti,Saliva substitutes,Mucositis,10
qzy4k1q8,Estarylla,Birth Control,9
ojrpsdt9,Gabapentin,Pain,6
ep2lba0c,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,1
54t8xg3a,Victoza,Obesity,10
khk9s3zw,Ketorolac,Pain,10
vm4721yd,Skyla,Birth Control,9
hulgvfjj,Buprenorphine / naloxone,Opiate Dependence,10
dn9nlcgs,Lansoprazole,Stomach Ulce,10
wit4v3n6,Bupropion,Smoking Cessation,10
ze8bdzkb,Prazosin,Post Traumatic Stress Disorde,10
ze2jnq9k,Desogestrel / ethinyl estradiol,Birth Control,10
b376751x,Vancomycin,Bacterial Infection,8
lwzwzg15,Naproxen / sumatriptan,Migraine,9
qddlc6az,Fastin,Weight Loss,7
5ipj2z86,Protonix,Stomach Ulce,10
ykx60xvf,Bazedoxifene / conjugated estrogens,Hot Flashes,10
54glvasa,Belviq,Weight Loss,7
ur8i1pp8,Ethinyl estradiol / norethindrone,Birth Control,9
ly0vigob,Metoclopramide,Migraine,10
6hga6m6l,Tadalafil,Erectile Dysfunction,10
71yqwde8,Chloral hydrate,Insomnia,10
rftsq2gd,Naproxen,Rheumatoid Arthritis,10
jwn26ywl,Rexulti,Schizophrenia,7
mq6f775l,Lialda,"Ulcerative Colitis, Active",1
rycbeax7,Diclofenac,Rheumatoid Arthritis,10
za7cot2n,Fluconazole,Vaginal Yeast Infection,1
9xu1ujcq,Prozac,Depression,8
ip2b4157,Maxalt,Migraine,9
krpxrim5,Desvenlafaxine,Depression,3
a7q8c1b8,Venlafaxine,Depression,1
8y3t0r2d,Suprep Bowel Prep Kit,Bowel Preparation,5
kihgja5g,Isotretinoin,Acne,10
0vzi8wd5,Lorcaserin,Weight Loss,10
87utn8ss,Budesonide / formoterol,moterol),5
k6ehxh8i,Duloxetine,Depression,9
j2ybesoy,Zithromax,Upper Respiratory Tract Infection,10
mfde6juv,Denosumab,Osteoporosis,2
yypg4iqh,Boniva,Osteoporosis,10
rmbv2n60,Scopolamine,Motion Sickness,7
51nysjcp,Sklice,Head Lice,1
tlfj4szl,ParaGard,Birth Control,10
1wix301v,Propranolol,mance Anxiety,10
346lwjr8,Terconazole,Vaginal Yeast Infection,1
vviu1yp4,Hydroxyzine,Anxiety,5
cektbcar,Cefdinir,Tonsillitis/Pharyngitis,1
wm0forsu,Lamotrigine,Bipolar Disorde,10
iff8cuum,Skyla,Birth Control,1
cegcbom4,Acetazolamide,Pseudotumor Cerebri,7
lesa5u2n,Clinpro 5000,Prevention of Dental Caries,10
c9ecid5e,Ethinyl estradiol / norgestimate,Acne,10
w9ev4iy9,Etonogestrel,Birth Control,9
ermbijfq,Bupropion / naltrexone,Obesity,9
dkmpayk4,Zolmitriptan,Migraine,9
6tcush4w,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8
7b5pzmk6,Gemfibrozil,High Cholesterol,10
8xuwaban,Lisdexamfetamine,ADHD,1
gyphu4qu,Varenicline,Smoking Cessation,10
lf941vhd,Plan B,Emergency Contraception,8
qxl14j2m,Etonogestrel,Birth Control,8
6hiutrct,Levonorgestrel,Birth Control,8
bab7iuzk,Adapalene / benzoyl peroxide,Acne,9
wpnaxe7p,Restoril,Insomnia,10
284qn075,Etonogestrel,Birth Control,2
s2ia7avo,Cataflam,Period Pain,9
9qq42zag,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1
uoigm53x,Ethinyl estradiol / norgestimate,Birth Control,4
0g0datwo,Skyla,Birth Control,5
8f2r1d14,Ethinyl estradiol / levonorgestrel,Birth Control,4
7mldvo3j,Diltiazem,High Blood Pressure,9
4j3fdjlg,Ortho Tri-Cyclen Lo,Birth Control,4
lg05gllj,Levonorgestrel,Birth Control,6
b1iyr42n,Zelapar,Parkinson's Disease,9
7jgrdmhc,Ethinyl estradiol / norgestrel,Birth Control,8
eoyqgez0,Rizatriptan,Migraine,9
ea88olv5,Varenicline,Smoking Cessation,9
rl2qxd03,Seroquel XR,Bipolar Disorde,9
x12cqydo,Macrobid,Urinary Tract Infection,6
xawxmttw,Cialis,Benign Prostatic Hyperplasia,5
303oznyu,Humira,Psoriasis,10
9u8mszad,Linaclotide,Constipation,8
gdsh8wmv,Effexor,Depression,2
2ixuog5u,Implanon,Birth Control,7
7y1uoj8l,Linzess,"Constipation, Chronic",4
buz3o8x9,Sitagliptin,"Diabetes, Type 2",10
nt84jzg4,Latuda,Bipolar Disorde,9
h0vmnxgc,Ceftriaxone,Otitis Media,9
07ljynpv,Lexapro,Anxiety,10
m58iv5wy,Lexapro,Anxiety,10
1mchg5yg,Miconazole,Vaginal Yeast Infection,1
y8eckkyb,Aripiprazole,Depression,10
l3kqwf8m,NuvaRing,Birth Control,9
odzm6jwb,Orsythia,Birth Control,3
rn4gm3sc,Zoledronic acid,Osteoporosis,1
pidar1gz,Epiduo,Acne,9
m9i9gu5g,Anastrozole,"Breast Cancer, Metastatic",10
ju35nyir,Bupropion / naltrexone,Weight Loss,4
0tetqt33,Etonogestrel,Birth Control,6
qijx85mx,Desloratadine,Allergic Rhinitis,1
kq112r0c,Cyclobenzaprine,ibromyalgia,9
3uk2zfpo,Trazodone,Insomnia,10
7w9uqinh,Citalopram,Generalized Anxiety Disorde,9
fway438n,Docosanol,Herpes Simplex,10
oq79dfhr,Acetaminophen,Sciatica,10
w11wop27,Diclofenac,Pain,9
g93jd1wt,Chaparral,Cance,10
hei7qrp3,Venlafaxine,Depression,9
lg45goe2,Chantix,Smoking Cessation,8
cfbs29qo,Codeine / guaifenesin,Cough,9
n2ida5g1,Propranolol,High Blood Pressure,8
rm7rcgnk,Hyaluronan,Osteoarthritis,1
yhrz8x9y,Cevimeline,Sjogren's Syndrome,10
9tl3i2jm,Prozac,Depression,7
nx0f1kkr,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,9
fhl0190s,Amitriptyline,Pain,10
xmqd774j,Ziprasidone,Bipolar Disorde,8
tm7rnavc,Mestranol / norethindrone,Abnormal Uterine Bleeding,9
81wf1a0a,Hydromorphone,Pain,10
cz5es3yt,Atomoxetine,ADHD,7
8bn28qte,Etonogestrel,Birth Control,7
bkdvgfwy,Venlafaxine,Depression,10
lrsyqoe7,Ethinyl estradiol / levonorgestrel,Birth Control,8
57w29u1s,Lorcaserin,Obesity,10
h10o18ss,Lisinopril,High Blood Pressure,9
fyapmzmq,Etonogestrel,Birth Control,9
jn94e6ix,Melatonin,Insomnia,10
jfjnqgr1,Terbinafine,"Onychomycosis, Toenail",1
mewcn3ey,Bydureon,"Diabetes, Type 2",8
9y4xl32d,Viibryd,Major Depressive Disorde,3
e36mlout,Lorazepam,Insomnia,10
syy7b05u,Lurasidone,Bipolar Disorde,9
19ec0trp,Bupropion / naltrexone,Weight Loss,7
2s3m6xq0,Implanon,Birth Control,10
iraur4ph,Symbicort,"Asthma, Maintenance",10
ew5gj8bf,Lamictal,Bipolar Disorde,9
gkdtxjee,Lamotrigine,Depression,2
eoh8r9tm,Lutera,Birth Control,9
zgs9mzrh,Lexapro,Anxiety,6
kztf04zz,Bupropion,Depression,10
ta6v9gr0,Jolessa,2</span> users found this comment helpful.,3
tvs264wi,Anastrozole,Breast Cance,2
jhk4klij,Venlafaxine,Hot Flashes,10
29wn81da,Azithromycin,Bacterial Endocarditis Prevention,1
7qawvr2o,Emollients,Dry Skin,10
i7qltp3q,Colesevelam,"Diarrhea, Chronic",10
l76lspvx,Temazepam,Insomnia,1
gqvhmaqm,Nifedipine,Hypertensive Emergency,9
cpjhki0q,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,1
izn315hb,Desvenlafaxine,Depression,5
4xcp7vqy,Indomethacin,"Gout, Acute",10
7y2lvd25,Zyclara,Keratosis,5
nol4ug68,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,9
o9fvzwj5,Lorazepam,Not Listed / Othe,7
x64cwmqf,Leuprolide,Endometriosis,1
5m9w7vtw,Aspirin / caffeine,Pain,10
99umkd7h,Aviane,Ovarian Cysts,7
73b58lcm,Morphine,Chronic Pain,6
9a27s0zn,Abreva,Herpes Simplex,10
el1vyyj9,Acetaminophen / hydrocodone,Pain,4
hncf2qe8,Oxycodone,Pain,3
xpwluph5,Azithromycin,Not Listed / Othe,5
r5niszuj,NuvaRing,Birth Control,10
nugginc9,Contrave,Obesity,10
w5q1mq02,Isocarboxazid,Depression,8
e5iitjwy,Correctol,Constipation,2
m38nvnmt,Infliximab,Behcet's Disease,9
wgwzjrcs,Tiotropium,"COPD, Maintenance",6
onuvnnol,Lubiprostone,"Constipation, Chronic",4
l47noshz,Plecanatide,Chronic Idiopathic Constipation,10
xgc54wtn,Apri,Birth Control,9
m0waducs,Ethinyl estradiol / norgestimate,Birth Control,10
5oyuwnit,Bupropion,Depression,9
udvss9ra,Quetiapine,Borderline Personality Disorde,7
svza32uj,Prepopik,Bowel Preparation,1
nfdgx0ye,Xarelto,Atrial Fibrillation,10
9i0a9beo,Celecoxib,Rheumatoid Arthritis,9
e7g3c8t2,Ocella,Birth Control,9
0n52x2z7,Prevacid,GERD,9
ixem36s5,Lutera,Birth Control,10
lu0tni6a,L-methylfolate,lic Acid Deficiency,10
q92unteg,Implanon,Birth Control,3
7z7zxcm2,Simvastatin,High Cholesterol,1
e9rt7z8d,Amoxicillin,Bladder Infection,3
umttnp1g,Implanon,Birth Control,6
kwow6bsv,Ethinyl estradiol / norethindrone,Birth Control,1
cetnn3oa,Ethinyl estradiol / levonorgestrel,Birth Control,3
qmyb365g,Tadalafil,Erectile Dysfunction,10
0n6lv1px,Carbatrol,Epilepsy,1
112im0u2,Contrave,Obesity,6
1n9w7bbp,Plan B One-Step,Emergency Contraception,10
x50tvq3a,Lo Loestrin Fe,Birth Control,10
etmhbrfe,Hydroxyzine,Anxiety,8
okryb7ea,Buprenorphine / naloxone,Opiate Dependence,8
l2r0rlo0,NuvaRing,Birth Control,5
l1vpthj5,Dapagliflozin,"Diabetes, Type 2",1
ri8dy54e,Effexor XR,Anxiety,8
21stahui,Klonopin,Panic Disorde,8
2ggyz30b,Aripiprazole,Schizophrenia,10
n8fwy791,Cefdinir,Bronchitis,1
ghcbttba,Tresiba,"Diabetes, Type 2",10
l2fq6boh,Nexplanon,Birth Control,8
27mqgts7,Oxymorphone,Pain,2
wesrv44a,Duloxetine,ibromyalgia,9
nw71tcp4,Oracea,Rosacea,10
6wdwrttn,Abilify,Autism,1
fcxsv352,Clonazepam,Anxiety,10
2mtq5kyn,Etonogestrel,Birth Control,10
vfq5ft08,Etonogestrel,Birth Control,4
83r28gu8,Plan B,Emergency Contraception,10
7826g63s,Macrobid,Urinary Tract Infection,7
14i38xtt,Meperidine,Pain,10
2ns15472,Tamoxifen,"Breast Cancer, Adjuvant",10
eufdzgp2,Harvoni,Hepatitis C,10
h8ahn8fw,Plan B,Emergency Contraception,10
emrwcx0m,Acetaminophen / hydrocodone,Rheumatoid Arthritis,10
rq8r7xkx,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,10
47d0wl98,Nuvigil,Chronic Fatigue Syndrome,2
hi38itc9,Orsythia,Birth Control,8
k05cdqlw,Augmentin,Bacterial Infection,1
2zbm4iwn,Imiquimod,Basal Cell Carcinoma,6
87d7gzgb,Miconazole,Vaginal Yeast Infection,2
ycvu5l5f,Accutane,Acne,10
mhm7r3qc,Ethinyl estradiol / levonorgestrel,Birth Control,10
spo1lzyo,Lorcaserin,Obesity,10
adf5ttfd,Etanercept,Ankylosing Spondylitis,10
y4uo7o8g,Sodium oxybate,Cataplexy,9
sdij1d90,Pristiq,Depression,6
6lngz7y1,Ethinyl estradiol / levonorgestrel,Birth Control,10
0g7wy4yw,Hypercare,Hyperhidrosis,10
uz8tatz5,Trospium,Overactive Bladde,4
atsuh8e2,Pentasa,"Crohn's Disease, Maintenance",9
h9hjslvb,Lorcaserin,Obesity,1
7k36owrf,Limbitrol,Depression,10
4coivpn7,Lisinopril,High Blood Pressure,10
xn59h5d0,Vyvanse,ADHD,9
qqmmyt77,Bupropion / naltrexone,Obesity,4
chpxl0uw,Zegerid,GERD,10
1bvsn9e8,Armodafinil,Narcolepsy,7
010vptx3,Mometasone,Eczema,10
qxhujttt,Orlistat,Obesity,3
5c91xnhz,Pregabalin,Diabetic Peripheral Neuropathy,10
fjnhoai4,Etonogestrel,Birth Control,1
a5x8bmfr,Venlafaxine,Depression,2
xsfh0wkt,Sertraline,Depression,8
qyf59ghf,Pregabalin,Generalized Anxiety Disorde,2
ophojm43,Diethylpropion,Obesity,10
3uvnoahj,Tamsulosin,Benign Prostatic Hyperplasia,5
code9hzz,Drospirenone / ethinyl estradiol,Birth Control,8
4s6vxmy7,Etonogestrel,Birth Control,3
ayjud479,Levonorgestrel,Emergency Contraception,10
kk2zu9gq,Bactrim DS,Urinary Tract Infection,1
j99cgsjt,Lisinopril,High Blood Pressure,5
xqqn1t4e,Nexplanon,Birth Control,2
46lxtujx,Oxycodone,Pain,10
a6xrs0jy,Buprenorphine / naloxone,Opiate Dependence,10
fmbk0843,Methylphenidate,ADHD,8
hmspvp6l,Limbrel,Osteoarthritis,2
bqbxjofk,Escitalopram,Anxiety,9
vyayyk50,Nitrofurantoin,Urinary Tract Infection,1
h2t93wkt,Verapamil,Arrhythmia,6
z0qzgu5m,Toradol,Pain,10
ymmcz358,Premarin,Primary Ovarian Failure,5
xk77u4g0,Ethinyl estradiol / norethindrone,Birth Control,1
ngm3sj1n,Sronyx,Birth Control,2
07amiydg,Pentazocine,Pain,10
vtlz9xid,Apremilast,Psoriatic Arthritis,7
o6bkxn7l,Chantix,Smoking Cessation,10
itrv27tm,Paroxetine,Depression,8
fh81rxy3,Neurontin,Pain,1
b35wzqb0,Ciclesonide,"Asthma, Maintenance",7
2fb4z0dr,Microgestin Fe 1 / 20,Acne,4
t6zf5k99,Concerta,ADHD,9
6duc06et,Contrave,Obesity,4
ocxxzf49,Amphetamine / dextroamphetamine,ADHD,1
2zanmu5z,Amphetamine / dextroamphetamine,ADHD,10
gmupz1gf,Canagliflozin,"Diabetes, Type 2",1
c3kngf3f,Megestrol,Weight Loss,9
5xyt8d5u,Sronyx,Birth Control,7
yqc43a5t,Paxil,Depression,4
z74suepj,Nitrofurantoin,Bladder Infection,4
el9znvy1,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,5
5em5bydx,Plan B One-Step,Emergency Contraception,10
tnt25mnu,Escitalopram,Depression,9
98e02f3b,Montelukast,Asthma,4
yxkfbde5,LoSeasonique,Birth Control,5
e220ut9u,Acyclovir,Cold Sores,10
dyr3pkvz,Mirtazapine,Anxiety,10
46idf595,Flagyl,Diverticulitis,9
qp13h0un,Nexplanon,Birth Control,4
5l7516xp,Propranolol,mance Anxiety,10
efhnptt9,Otezla,Plaque Psoriasis,9
d1n6eayo,Acetaminophen / aspirin / caffeine,Migraine,10
bhjc1jcs,Lexapro,Anxiety,2
7zngkwoh,Celexa,Depression,8
lli6mt29,VESIcare,Overactive Bladde,1
je66bmzu,Zenzedi,ADHD,10
5qlazrhw,Ethinyl estradiol / levonorgestrel,Birth Control,1
dll2zv8s,Levonorgestrel,Emergency Contraception,10
6zlizqe9,Etonogestrel,Birth Control,10
rq9hmjsx,Zyprexa,Schizoaffective Disorde,1
4fs724wn,Gabapentin,Pain,4
ew0su2rh,Trintellix,Major Depressive Disorde,10
ozsze4c3,Wellbutrin,Depression,10
vuonolxg,Pantoprazole,GERD,1
8ywd6j2b,Sprintec,Birth Control,1
qw774m48,Pristiq,Obesity,8
xtwomrgw,Phosphorated carbohydrate solution,Nausea/Vomiting,10
kew3dyg8,Gabapentin,ibromyalgia,8
o8zh8nl1,"Influenza virus vaccine, live, trivalent",Influenza Prophylaxis,6
b720w9ee,Lexapro,Anxiety,1
e4hmo4yc,Deplin,Depression,10
5d8hi2pe,Armodafinil,Chronic Fatigue Syndrome,8
1xgmqwao,Methylprednisolone,"Gout, Acute",9
d5t0vfsl,Bupropion / naltrexone,Obesity,7
tuhesrpb,Linaclotide,"Constipation, Chronic",1
5y1qgjr8,Etonogestrel,Birth Control,5
2qcp13dt,Etonogestrel,Birth Control,9
uxeb72ud,Dimenhydrinate,Motion Sickness,10
4aaz9er5,Invega,Bipolar Disorde,10
jzoh4d3m,Belviq,Obesity,7
kex1pe6f,Hyaluronan,Osteoarthritis,9
0irr4tnw,Ethinyl estradiol / norgestimate,Birth Control,10
ujoil8pq,Cutar,Seborrheic Dermatitis,7
fqfhzo7z,Levonorgestrel,Birth Control,8
pq75mafr,Temazepam,Insomnia,5
zdddiwsy,Duloxetine,Pain,8
k5o04w9v,Serzone,Depression,10
6njb1kdv,Suprep Bowel Prep Kit,Bowel Preparation,10
vp96izcs,Zoloft,Obsessive Compulsive Disorde,10
hp8bzwcq,Desogestrel / ethinyl estradiol,Birth Control,9
g8iz65wm,Abilify,Agitated State,7
xchvlphf,Biaxin XL,Pneumonia,9
4z0dqyu1,Coreg,Heart Failure,9
xk5igdwo,Nitrofurantoin,Urinary Tract Infection,8
bqpchl7q,Adderall,atigue,8
b358eb10,Cryselle,Birth Control,1
2wpcupzh,Ortho Cyclen,Birth Control,9
nozf9iym,Lorcet 10 / 650,Back Pain,10
vwatb5b0,Minastrin 24 Fe,Birth Control,3
mhblodgj,Desvenlafaxine,Depression,10
57iyq1gw,Cefdinir,Sinusitis,1
dxebo1ms,Doxycycline,Acne,6
eiz21wvi,Letrozole,"Breast Cancer, Adjuvant",5
3ztfw8lj,Ethinyl estradiol / norethindrone,Birth Control,1
6100a7o5,Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10
1zyi223o,Buspirone,Anxiety,8
igloerll,Klonopin,Anxiety,10
fi0l7fc6,Valacyclovir,Cold Sores,7
pa759j4z,ParaGard,Birth Control,10
piryj8nc,Armour Thyroid,"Hypothyroidism, After Thyroid Removal",2
55oorsvn,Lisdexamfetamine,ADHD,10
kkpaovhh,Cefuroxime,Sinusitis,10
amazvpeh,Ethinyl estradiol / levonorgestrel,Birth Control,2
5stnqgl6,Levomilnacipran,Depression,5
abcaoqye,Etonogestrel,Birth Control,5
tvj1162q,Sucralfate,GERD,2
36rnb6et,Methadone,Opiate Withdrawal,10
2178imf2,Clonazepam,Panic Disorde,10
kvxpo1et,Armodafinil,Chronic Fatigue Syndrome,10
in03v6gp,Lamotrigine,Depression,7
wrvbtwnw,Suboxone,Opiate Dependence,9
fu3ola2w,Buspirone,Anxiety,8
vc78113o,Sectral,High Blood Pressure,9
o7arzwt3,Levonorgestrel,Emergency Contraception,10
nzq13sju,Drysol,Hyperhidrosis,2
gizxnw4n,Nexplanon,Birth Control,8
cznwzcn9,Olanzapine,Schizoaffective Disorde,1
arkkwiez,Tadalafil,Benign Prostatic Hyperplasia,9
3ozyfmf6,TriNessa,Acne,8
akke4o67,Dulaglutide,"Diabetes, Type 2",10
mjf7ztx2,Phentermine,Weight Loss,8
o7o9973k,Copper,Birth Control,10
lgedyc7k,Miconazole,Vaginal Yeast Infection,3
9yg6gq6y,Citalopram,Anxiety and Stress,9
p34fulb0,Ethinyl estradiol / norethindrone,Birth Control,1
vq8wiz9u,Beyaz,Birth Control,6
w2ci1bfr,Escitalopram,Generalized Anxiety Disorde,3
bg0ubfy4,Medroxyprogesterone,Abnormal Uterine Bleeding,5
497z31h6,Cryselle,Birth Control,5
uusi3nph,Belladonna / opium,Overactive Bladde,10
4ys5h9uq,Lamictal,Bipolar Disorde,1
7vadpp3d,Levonorgestrel,Birth Control,6
g721fj81,Trazodone,Insomnia,10
pkpjce2l,Flomax,Overactive Bladde,1
n9xnlnb5,My Way,Emergency Contraception,9
uhy086fn,Rizatriptan,Migraine,7
tybh207e,Omalizumab,Urticaria,1
yuyy64rw,Desvenlafaxine,Depression,5
vr1rf771,Amphetamine / dextroamphetamine,ADHD,6
k6u0gva3,Macrobid,Urinary Tract Infection,1
sew8thxg,Acetaminophen / butalbital / caffeine,Headache,10
k21qt6ee,Escitalopram,Anxiety,7
6ibmmqsd,Kyleena,Birth Control,5
fbwpw3jc,Belsomra,Insomnia,6
3aozpdr3,Progesterone,"Endometrial Hyperplasia, Prophylaxis",10
8eg8zqnw,Adapalene,Acne,10
mwo9dfdb,Nuvigil,Narcolepsy,9
0colobwd,Amitriptyline,Migraine Prevention,7
0u1aosf1,Nexplanon,Birth Control,4
ilxaurgt,Lamotrigine,Bipolar Disorde,10
il0rlo9j,Percocet,Chronic Pain,7
e3dh0huv,Valacyclovir,Cold Sores,10
4bdusuqq,Tramadol,Pain,9
zjpm5a4b,Promethazine,Sedation,10
j3lk6l8u,Nexplanon,Birth Control,7
wh39sbx6,Fentanyl Transdermal System,Chronic Pain,3
b5329o75,Vicodin,Pain,10
21uag18h,Cyclobenzaprine,Muscle Spasm,4
eh5o6pgw,Buprenorphine / naloxone,Opiate Dependence,9
yfzod931,Camrese,Birth Control,10
ghkz8bt6,Bupropion,Depression,5
gj9xvmno,Citalopram,Anxiety and Stress,9
bieqiu8q,Venlafaxine,Depression,1
mvnmhs1i,Cialis,Benign Prostatic Hyperplasia,10
ae8fjbvt,Alprazolam,Anxiety,8
50dbw0o5,Desoxyn,ADHD,10
6l0lyeth,Glatiramer,Multiple Sclerosis,8
l4o7nicc,Macrobid,Urinary Tract Infection,7
mvm1t0y7,Flagyl,Bacterial Infection,5
5i2dxg8z,Methylprednisolone,Immunosuppression,3
o9z6rdim,Azithromycin,Chlamydia Infection,7
jvt8axf7,Fluoxetine,Anxiety and Stress,10
44374xe7,Bupropion,ADHD,9
x9nanc34,Metronidazole,Bacterial Vaginitis,5
eopxz8px,Levonorgestrel,Emergency Contraception,10
6y3lza8c,Etonogestrel,Birth Control,10
995km4zc,Tegretol,Dystonia,1
o7p1125j,Quetiapine,Bipolar Disorde,9
l9tkt4th,Glatiramer,Multiple Sclerosis,2
41m5b96p,Mesalamine,Crohn's Disease,10
9eso10is,Lo Loestrin Fe,Birth Control,9
l2x9keaz,Latisse,8</span> users found this comment helpful.,10
4ki951ls,Cyclobenzaprine,Migraine,9
2uu5090e,Ledipasvir / sofosbuvir,Hepatitis C,10
8amsyo2v,Oseltamivir,Influenza,10
xiah8j0m,Ziprasidone,Schizophrenia,1
