UID,Drug_Name,Condition,Rating,Results
xbfpgczp,Amitriptyline,Reflex Sympathetic Dystrophy Syndrome,3,0
3l8pm0t5,Metformin,Polycystic Ovary Syndrome,1,0
y5sqdjfj,Infliximab,Rheumatoid Arthritis,10,1
65b267ic,Mirena,Birth Control,10,1
5pqkuwb2,Phenazopyridine,Dysuria,1,0
vh4fbrn4,Guanfacine,ADHD,7,0
2uwnamao,Tiotropium,"COPD, Maintenance",6,0
o877uul1,Savella,ibromyalgia,9,1
cja8i0hw,Venlafaxine,Generalized Anxiety Disorde,9,1
g9wmlvnq,Lexapro,Depression,9,1
rkfmgz8w,Sertraline,Depression,10,1
x1zq2i9h,Paroxetine,Anxiety and Stress,5,0
hq4jb2wy,Etonogestrel,Birth Control,5,0
awp1nck0,Cataflam,Osteoarthritis,10,1
nfz8w8na,Ethinyl estradiol / norgestimate,Birth Control,1,0
030bc0h3,Zoloft,Anxiety and Stress,7,0
3hgy4msc,Hydroxyzine,Allergies,9,1
e6avpfg8,Cobicistat / elvitegravir / emtricitabine / tenofovir,HIV Infection,10,1
st5idleq,Ramipril,High Blood Pressure,7,0
3iz5x8et,Morphine,Pain,1,0
vvhhpchm,Relistor,Opioid-Induced Constipation,8,1
ftec9ylk,Paxil,Depression,8,1
qele28zk,Ethinyl estradiol / norgestimate,Birth Control,7,0
czbhddnm,Etonogestrel,Birth Control,9,1
fjmchbew,Stelara,Psoriasis,10,1
m04kky95,Cambia,Migraine,10,1
yjay3t38,Ezetimibe,High Cholesterol,2,0
v13k3mm2,Celexa,Depression,5,0
vu431218,Doxycycline,Bronchitis,6,0
95t3zka6,Reglan,Migraine,2,0
kvshg68x,Atomoxetine,ADHD,10,1
zehnqsp7,Mefenamic acid,Period Pain,2,0
99doz9m6,Budesonide / formoterol,moterol),1,0
rxrlbw60,Dexmethylphenidate,ADHD,7,0
801t0728,Minocycline,Skin or Soft Tissue Infection,2,0
9quf59td,Doryx,Acne,3,0
47goscew,Estradiol,Atrophic Vaginitis,9,1
ne5r4d4b,Metronidazole,Bacterial Vaginitis,9,1
rh8ksfx2,Ethinyl estradiol / norethindrone,,4,0
94tdt2rv,Nexplanon,Birth Control,3,0
9nwz73zh,Ethinyl estradiol / norgestimate,Birth Control,9,1
wsfhlf47,Sertraline,Anxiety and Stress,6,0
ug6pare2,Ethinyl estradiol / norethindrone,Menstrual Disorders,10,1
8ojxsgup,Accutane,13</span> users found this comment helpful.,10,1
azi9i2a8,Lexapro,Generalized Anxiety Disorde,6,0
8gncbgot,Medroxyprogesterone,Endometriosis,10,1
c4u0gxp5,Escitalopram,Irritable Bowel Syndrome,10,1
hz71il2l,Ethinyl estradiol / norgestimate,Birth Control,1,0
61snvddh,Dymista,Allergic Rhinitis,10,1
ba6v30jg,Desvenlafaxine,Depression,9,1
hxvib7wf,Cryselle,Birth Control,8,1
5lb2u8vb,Omalizumab,"Asthma, Maintenance",10,1
6mef38eo,Conjugated estrogens,,10,1
l6rqsqs2,Skyla,Birth Control,10,1
nzvuugls,Lunesta,Insomnia,10,1
rwoyyu3y,Levonorgestrel,Emergency Contraception,10,1
gu2mt6zp,Hydrochlorothiazide,High Blood Pressure,1,0
qzbqxjdi,Apri,Birth Control,8,1
57rd642p,Sulfamethoxazole / trimethoprim,Bacterial Infection,1,0
hp6d2p6x,Minocycline,Acne,1,0
r8bhgb7k,Acetaminophen / aspirin / caffeine,Migraine,10,1
7hkowm2y,Benzoyl peroxide / clindamycin,Acne,2,0
6ct748ek,Trazodone,Insomnia,9,1
w0mt034a,Tizanidine,Muscle Spasm,9,1
566pbuic,Mometasone,Eczema,10,1
tj21zcod,Phentermine,Weight Loss,10,1
c4u0gxp5,Reglan,Migraine,10,1
6r08hj06,Copper,Birth Control,10,1
5zukxemu,Bupropion,Depression,9,1
e9nz2rpb,Medroxyprogesterone,Abnormal Uterine Bleeding,4,0
uylj9uut,Phenylephrine,Nasal Congestion,10,1
kyrkx2ii,Etonogestrel,Birth Control,9,1
nhidl6hd,Azithromycin,Chlamydia Infection,7,0
6yinwbfh,Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,10,1
2lt2coyf,Vilazodone,Depression,3,0
njmoboac,VESIcare,Overactive Bladde,10,1
er6q40d3,Flonase,Rhinitis,10,1
04jwam92,Dexmethylphenidate,ADHD,9,1
g1vsk5de,Loestrin 24 Fe,Acne,9,1
bfvs5b87,Kapidex,GERD,10,1
5ha2ryv2,Varenicline,Smoking Cessation,10,1
z1du5gsp,Errin,Birth Control,6,0
lpowhp6b,Lomotil,Diarrhea,9,1
wysmun66,Meloxicam,Inflammatory Conditions,8,1
63aoc5vp,Clomid,emale Infertility,7,0
fcd07krs,Clozapine,Schizophrenia,8,1
m5k28kbu,Olopatadine,Seasonal Allergic Conjunctivitis,9,1
op98hkh9,Pregabalin,ibromyalgia,8,1
3gnjibex,Ciprofloxacin,Sinusitis,6,0
374wyw92,Lurasidone,Bipolar Disorde,10,1
z7692na5,Doxycycline,Urinary Tract Infection,10,1
ekc1tkyt,Metronidazole,Diverticulitis,5,0
53pkdyn8,Medroxyprogesterone,Birth Control,1,0
pieqxttn,Narcan Injection,Opioid Overdose,10,1
8nbb0bqy,Mirabegron,Overactive Bladde,10,1
f7dailgd,Hydroxychloroquine,Systemic Lupus Erythematosus,10,1
9j9v4g1p,Wellbutrin SR,ADHD,10,1
5l6c0it4,Bupropion / naltrexone,Weight Loss,1,0
ekbi2fg9,Ethinyl estradiol / norethindrone,Birth Control,8,1
95av20uc,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,1,0
xioiph83,Nitrofurantoin,Urinary Tract Infection,1,0
op0p7cxs,Humira,Ulcerative Colitis,1,0
qc17no6c,Nexplanon,Birth Control,9,1
xr10bl7r,Plan B One-Step,Emergency Contraception,10,1
khpobojv,Tramadol,Pain,2,0
69toerzi,Exenatide,"Diabetes, Type 2",8,1
8apepcdk,Epiduo,Acne,9,1
0y122bxf,Valsartan,High Blood Pressure,6,0
0gier0lu,Cyclobenzaprine,,1,0
gr9l1uja,Moxifloxacin,"Conjunctivitis, Bacterial",10,1
i3nepcha,Tinidazole,Bacterial Vaginitis,8,1
bfftrrss,Saxenda,Obesity,10,1
dj9rs6me,Loestrin 24 Fe,Birth Control,10,1
5dqrhssw,Citalopram,Anxiety and Stress,8,1
pwvcwlh8,Asenapine,Post Traumatic Stress Disorde,10,1
q52upndx,Lexapro,Anxiety,10,1
tvbnv5gz,Ethinyl estradiol / norethindrone,Birth Control,10,1
xuiswu2l,Uribel,Urinary Tract Infection,6,0
475nei28,Penicillin VK,Bacterial Infection,4,0
p370gjjn,Alprazolam,Panic Disorde,6,0
5dle3e3c,Etonogestrel,Birth Control,9,1
e5nxkvo7,Ethinyl estradiol / etonogestrel,Birth Control,3,0
zel9a3u6,Bupropion / naltrexone,Weight Loss,9,1
afek8kgr,Ondansetron,Nausea/Vomiting,9,1
ewcv8m06,Trintellix,Depression,9,1
plp5sxyl,Aviane,Birth Control,9,1
2wg14ilf,Ethinyl estradiol / etonogestrel,Birth Control,8,1
2tu707ng,Clonazepam,Insomnia,1,0
p7ifetgw,Suprep Bowel Prep Kit,Bowel Preparation,1,0
iomao9a7,Oxymetazoline,Rosacea,9,1
j2tm0ji5,EpiCeram,Dry Skin,10,1
o0xwhm57,Ethinyl estradiol / norgestimate,Birth Control,5,0
e4c26nn9,Ledipasvir / sofosbuvir,Hepatitis C,10,1
2ftw85xw,Pregabalin,Pain,10,1
tvyyyxiu,Gabapentin,Spondylolisthesis,4,0
2sywbgje,Miconazole,Vaginal Yeast Infection,10,1
fw9jpkdq,Ethinyl estradiol / levonorgestrel,Birth Control,3,0
2tl0mtb8,Nuvigil,Shift Work Sleep Disorde,4,0
1s2zsqoq,Levonorgestrel,Birth Control,10,1
a9clzlzb,Valacyclovir,Cold Sores,10,1
5trqi9tp,Escitalopram,Anxiety,10,1
zknmfgsh,Phentermine / topiramate,Weight Loss,1,0
lxi6o21j,Topamax,Migraine Prevention,9,1
o8j17zzs,Implanon,Birth Control,6,0
20ky3t6y,Temazepam,Insomnia,10,1
m4u96x2v,Oxybutynin,Overactive Bladde,9,1
1qjwyxes,Levonorgestrel,Birth Control,8,1
1hwcp09t,Acetaminophen / aspirin / caffeine,Migraine,8,1
ar1nppy4,Myrbetriq,Overactive Bladde,4,0
rql9fjug,Levonorgestrel,Birth Control,1,0
uz6usokd,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,8,1
frkk6w0a,Ortho Evra,Birth Control,8,1
lcpk5se4,Ethinyl estradiol / norethindrone,Birth Control,8,1
lff5cajm,Epclusa,Hepatitis C,10,1
p15dy31e,Cipro,Sinusitis,1,0
nrj4aysh,Levonorgestrel,Emergency Contraception,10,1
4jky78sl,Dalfampridine,Multiple Sclerosis,1,0
6o8dt2bg,OnabotulinumtoxinA,Migraine Prevention,9,1
mio282vy,Levonorgestrel,Birth Control,1,0
bgh729s5,Desogestrel / ethinyl estradiol,Birth Control,7,0
08d5cdf4,Ethinyl estradiol / norethindrone,Birth Control,8,1
41ogljo8,Ethinyl estradiol / norgestimate,Birth Control,9,1
fv4qonnf,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,10,1
qpcvxwti,Saliva substitutes,Mucositis,10,1
qzy4k1q8,Estarylla,Birth Control,9,1
ojrpsdt9,Gabapentin,Pain,6,0
ep2lba0c,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,1,0
54t8xg3a,Victoza,Obesity,10,1
khk9s3zw,Ketorolac,Pain,10,1
vm4721yd,Skyla,Birth Control,9,1
hulgvfjj,Buprenorphine / naloxone,Opiate Dependence,10,1
dn9nlcgs,Lansoprazole,Stomach Ulce,10,1
wit4v3n6,Bupropion,Smoking Cessation,10,1
ze8bdzkb,Prazosin,Post Traumatic Stress Disorde,10,1
ze2jnq9k,Desogestrel / ethinyl estradiol,Birth Control,10,1
b376751x,Vancomycin,Bacterial Infection,8,1
lwzwzg15,Naproxen / sumatriptan,Migraine,9,1
qddlc6az,Fastin,Weight Loss,7,0
5ipj2z86,Protonix,Stomach Ulce,10,1
ykx60xvf,Bazedoxifene / conjugated estrogens,Hot Flashes,10,1
54glvasa,Belviq,Weight Loss,7,0
ur8i1pp8,Ethinyl estradiol / norethindrone,Birth Control,9,1
ly0vigob,Metoclopramide,Migraine,10,1
6hga6m6l,Tadalafil,Erectile Dysfunction,10,1
71yqwde8,Chloral hydrate,Insomnia,10,1
rftsq2gd,Naproxen,Rheumatoid Arthritis,10,1
jwn26ywl,Rexulti,Schizophrenia,7,0
mq6f775l,Lialda,"Ulcerative Colitis, Active",1,0
rycbeax7,Diclofenac,Rheumatoid Arthritis,10,1
za7cot2n,Fluconazole,Vaginal Yeast Infection,1,0
9xu1ujcq,Prozac,Depression,8,1
ip2b4157,Maxalt,Migraine,9,1
krpxrim5,Desvenlafaxine,Depression,3,0
a7q8c1b8,Venlafaxine,Depression,1,0
8y3t0r2d,Suprep Bowel Prep Kit,Bowel Preparation,5,0
kihgja5g,Isotretinoin,Acne,10,1
0vzi8wd5,Lorcaserin,Weight Loss,10,1
87utn8ss,Budesonide / formoterol,moterol),5,0
k6ehxh8i,Duloxetine,Depression,9,1
j2ybesoy,Zithromax,Upper Respiratory Tract Infection,10,1
mfde6juv,Denosumab,Osteoporosis,2,0
yypg4iqh,Boniva,Osteoporosis,10,1
rmbv2n60,Scopolamine,Motion Sickness,7,0
51nysjcp,Sklice,Head Lice,1,0
tlfj4szl,ParaGard,Birth Control,10,1
1wix301v,Propranolol,mance Anxiety,10,1
346lwjr8,Terconazole,Vaginal Yeast Infection,1,0
vviu1yp4,Hydroxyzine,Anxiety,5,0
cektbcar,Cefdinir,Tonsillitis/Pharyngitis,1,0
wm0forsu,Lamotrigine,Bipolar Disorde,10,1
iff8cuum,Skyla,Birth Control,1,0
cegcbom4,Acetazolamide,Pseudotumor Cerebri,7,0
lesa5u2n,Clinpro 5000,Prevention of Dental Caries,10,1
c9ecid5e,Ethinyl estradiol / norgestimate,Acne,10,1
w9ev4iy9,Etonogestrel,Birth Control,9,1
ermbijfq,Bupropion / naltrexone,Obesity,9,1
dkmpayk4,Zolmitriptan,Migraine,9,1
6tcush4w,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8,1
7b5pzmk6,Gemfibrozil,High Cholesterol,10,1
8xuwaban,Lisdexamfetamine,ADHD,1,0
gyphu4qu,Varenicline,Smoking Cessation,10,1
lf941vhd,Plan B,Emergency Contraception,8,1
qxl14j2m,Etonogestrel,Birth Control,8,1
6hiutrct,Levonorgestrel,Birth Control,8,1
bab7iuzk,Adapalene / benzoyl peroxide,Acne,9,1
wpnaxe7p,Restoril,Insomnia,10,1
284qn075,Etonogestrel,Birth Control,2,0
s2ia7avo,Cataflam,Period Pain,9,1
9qq42zag,Ethinyl estradiol / norgestimate,Abnormal Uterine Bleeding,1,0
uoigm53x,Ethinyl estradiol / norgestimate,Birth Control,4,0
0g0datwo,Skyla,Birth Control,5,0
8f2r1d14,Ethinyl estradiol / levonorgestrel,Birth Control,4,0
7mldvo3j,Diltiazem,High Blood Pressure,9,1
4j3fdjlg,Ortho Tri-Cyclen Lo,Birth Control,4,0
lg05gllj,Levonorgestrel,Birth Control,6,0
b1iyr42n,Zelapar,Parkinson's Disease,9,1
7jgrdmhc,Ethinyl estradiol / norgestrel,Birth Control,8,1
eoyqgez0,Rizatriptan,Migraine,9,1
ea88olv5,Varenicline,Smoking Cessation,9,1
rl2qxd03,Seroquel XR,Bipolar Disorde,9,1
x12cqydo,Macrobid,Urinary Tract Infection,6,0
xawxmttw,Cialis,Benign Prostatic Hyperplasia,5,0
303oznyu,Humira,Psoriasis,10,1
9u8mszad,Linaclotide,Constipation,8,1
gdsh8wmv,Effexor,Depression,2,0
2ixuog5u,Implanon,Birth Control,7,0
7y1uoj8l,Linzess,"Constipation, Chronic",4,0
buz3o8x9,Sitagliptin,"Diabetes, Type 2",10,1
nt84jzg4,Latuda,Bipolar Disorde,9,1
h0vmnxgc,Ceftriaxone,Otitis Media,9,1
07ljynpv,Lexapro,Anxiety,10,1
m58iv5wy,Lexapro,Anxiety,10,1
1mchg5yg,Miconazole,Vaginal Yeast Infection,1,0
y8eckkyb,Aripiprazole,Depression,10,1
l3kqwf8m,NuvaRing,Birth Control,9,1
odzm6jwb,Orsythia,Birth Control,3,0
rn4gm3sc,Zoledronic acid,Osteoporosis,1,0
pidar1gz,Epiduo,Acne,9,1
m9i9gu5g,Anastrozole,"Breast Cancer, Metastatic",10,1
ju35nyir,Bupropion / naltrexone,Weight Loss,4,0
0tetqt33,Etonogestrel,Birth Control,6,0
qijx85mx,Desloratadine,Allergic Rhinitis,1,0
kq112r0c,Cyclobenzaprine,ibromyalgia,9,1
3uk2zfpo,Trazodone,Insomnia,10,1
7w9uqinh,Citalopram,Generalized Anxiety Disorde,9,1
fway438n,Docosanol,Herpes Simplex,10,1
oq79dfhr,Acetaminophen,Sciatica,10,1
w11wop27,Diclofenac,Pain,9,1
g93jd1wt,Chaparral,Cance,10,1
hei7qrp3,Venlafaxine,Depression,9,1
lg45goe2,Chantix,Smoking Cessation,8,1
cfbs29qo,Codeine / guaifenesin,Cough,9,1
n2ida5g1,Propranolol,High Blood Pressure,8,1
rm7rcgnk,Hyaluronan,Osteoarthritis,1,0
yhrz8x9y,Cevimeline,Sjogren's Syndrome,10,1
9tl3i2jm,Prozac,Depression,7,0
nx0f1kkr,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,9,1
fhl0190s,Amitriptyline,Pain,10,1
xmqd774j,Ziprasidone,Bipolar Disorde,8,1
tm7rnavc,Mestranol / norethindrone,Abnormal Uterine Bleeding,9,1
81wf1a0a,Hydromorphone,Pain,10,1
cz5es3yt,Atomoxetine,ADHD,7,0
8bn28qte,Etonogestrel,Birth Control,7,0
bkdvgfwy,Venlafaxine,Depression,10,1
lrsyqoe7,Ethinyl estradiol / levonorgestrel,Birth Control,8,1
57w29u1s,Lorcaserin,Obesity,10,1
h10o18ss,Lisinopril,High Blood Pressure,9,1
fyapmzmq,Etonogestrel,Birth Control,9,1
jn94e6ix,Melatonin,Insomnia,10,1
jfjnqgr1,Terbinafine,"Onychomycosis, Toenail",1,0
mewcn3ey,Bydureon,"Diabetes, Type 2",8,1
9y4xl32d,Viibryd,Major Depressive Disorde,3,0
e36mlout,Lorazepam,Insomnia,10,1
syy7b05u,Lurasidone,Bipolar Disorde,9,1
19ec0trp,Bupropion / naltrexone,Weight Loss,7,0
2s3m6xq0,Implanon,Birth Control,10,1
iraur4ph,Symbicort,"Asthma, Maintenance",10,1
ew5gj8bf,Lamictal,Bipolar Disorde,9,1
gkdtxjee,Lamotrigine,Depression,2,0
eoh8r9tm,Lutera,Birth Control,9,1
zgs9mzrh,Lexapro,Anxiety,6,0
kztf04zz,Bupropion,Depression,10,1
ta6v9gr0,Jolessa,2</span> users found this comment helpful.,3,0
tvs264wi,Anastrozole,Breast Cance,2,0
jhk4klij,Venlafaxine,Hot Flashes,10,1
29wn81da,Azithromycin,Bacterial Endocarditis Prevention,1,0
7qawvr2o,Emollients,Dry Skin,10,1
i7qltp3q,Colesevelam,"Diarrhea, Chronic",10,1
l76lspvx,Temazepam,Insomnia,1,0
gqvhmaqm,Nifedipine,Hypertensive Emergency,9,1
cpjhki0q,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,1,0
izn315hb,Desvenlafaxine,Depression,5,0
4xcp7vqy,Indomethacin,"Gout, Acute",10,1
7y2lvd25,Zyclara,Keratosis,5,0
nol4ug68,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,9,1
o9fvzwj5,Lorazepam,Not Listed / Othe,7,0
x64cwmqf,Leuprolide,Endometriosis,1,0
5m9w7vtw,Aspirin / caffeine,Pain,10,1
99umkd7h,Aviane,Ovarian Cysts,7,0
73b58lcm,Morphine,Chronic Pain,6,0
9a27s0zn,Abreva,Herpes Simplex,10,1
el1vyyj9,Acetaminophen / hydrocodone,Pain,4,0
hncf2qe8,Oxycodone,Pain,3,0
xpwluph5,Azithromycin,Not Listed / Othe,5,0
r5niszuj,NuvaRing,Birth Control,10,1
nugginc9,Contrave,Obesity,10,1
w5q1mq02,Isocarboxazid,Depression,8,1
e5iitjwy,Correctol,Constipation,2,0
m38nvnmt,Infliximab,Behcet's Disease,9,1
wgwzjrcs,Tiotropium,"COPD, Maintenance",6,0
onuvnnol,Lubiprostone,"Constipation, Chronic",4,0
l47noshz,Plecanatide,Chronic Idiopathic Constipation,10,1
xgc54wtn,Apri,Birth Control,9,1
m0waducs,Ethinyl estradiol / norgestimate,Birth Control,10,1
5oyuwnit,Bupropion,Depression,9,1
udvss9ra,Quetiapine,Borderline Personality Disorde,7,0
svza32uj,Prepopik,Bowel Preparation,1,0
nfdgx0ye,Xarelto,Atrial Fibrillation,10,1
9i0a9beo,Celecoxib,Rheumatoid Arthritis,9,1
e7g3c8t2,Ocella,Birth Control,9,1
0n52x2z7,Prevacid,GERD,9,1
ixem36s5,Lutera,Birth Control,10,1
lu0tni6a,L-methylfolate,lic Acid Deficiency,10,1
q92unteg,Implanon,Birth Control,3,0
7z7zxcm2,Simvastatin,High Cholesterol,1,0
e9rt7z8d,Amoxicillin,Bladder Infection,3,0
umttnp1g,Implanon,Birth Control,6,0
kwow6bsv,Ethinyl estradiol / norethindrone,Birth Control,1,0
cetnn3oa,Ethinyl estradiol / levonorgestrel,Birth Control,3,0
qmyb365g,Tadalafil,Erectile Dysfunction,10,1
0n6lv1px,Carbatrol,Epilepsy,1,0
112im0u2,Contrave,Obesity,6,0
1n9w7bbp,Plan B One-Step,Emergency Contraception,10,1
x50tvq3a,Lo Loestrin Fe,Birth Control,10,1
etmhbrfe,Hydroxyzine,Anxiety,8,1
okryb7ea,Buprenorphine / naloxone,Opiate Dependence,8,1
l2r0rlo0,NuvaRing,Birth Control,5,0
l1vpthj5,Dapagliflozin,"Diabetes, Type 2",1,0
ri8dy54e,Effexor XR,Anxiety,8,1
21stahui,Klonopin,Panic Disorde,8,1
2ggyz30b,Aripiprazole,Schizophrenia,10,1
n8fwy791,Cefdinir,Bronchitis,1,0
ghcbttba,Tresiba,"Diabetes, Type 2",10,1
l2fq6boh,Nexplanon,Birth Control,8,1
27mqgts7,Oxymorphone,Pain,2,0
wesrv44a,Duloxetine,ibromyalgia,9,1
nw71tcp4,Oracea,Rosacea,10,1
6wdwrttn,Abilify,Autism,1,0
fcxsv352,Clonazepam,Anxiety,10,1
2mtq5kyn,Etonogestrel,Birth Control,10,1
vfq5ft08,Etonogestrel,Birth Control,4,0
83r28gu8,Plan B,Emergency Contraception,10,1
7826g63s,Macrobid,Urinary Tract Infection,7,0
14i38xtt,Meperidine,Pain,10,1
2ns15472,Tamoxifen,"Breast Cancer, Adjuvant",10,1
eufdzgp2,Harvoni,Hepatitis C,10,1
h8ahn8fw,Plan B,Emergency Contraception,10,1
emrwcx0m,Acetaminophen / hydrocodone,Rheumatoid Arthritis,10,1
rq8r7xkx,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,10,1
47d0wl98,Nuvigil,Chronic Fatigue Syndrome,2,0
hi38itc9,Orsythia,Birth Control,8,1
k05cdqlw,Augmentin,Bacterial Infection,1,0
2zbm4iwn,Imiquimod,Basal Cell Carcinoma,6,0
87d7gzgb,Miconazole,Vaginal Yeast Infection,2,0
ycvu5l5f,Accutane,Acne,10,1
mhm7r3qc,Ethinyl estradiol / levonorgestrel,Birth Control,10,1
spo1lzyo,Lorcaserin,Obesity,10,1
adf5ttfd,Etanercept,Ankylosing Spondylitis,10,1
y4uo7o8g,Sodium oxybate,Cataplexy,9,1
sdij1d90,Pristiq,Depression,6,0
6lngz7y1,Ethinyl estradiol / levonorgestrel,Birth Control,10,1
0g7wy4yw,Hypercare,Hyperhidrosis,10,1
uz8tatz5,Trospium,Overactive Bladde,4,0
atsuh8e2,Pentasa,"Crohn's Disease, Maintenance",9,1
h9hjslvb,Lorcaserin,Obesity,1,0
7k36owrf,Limbitrol,Depression,10,1
4coivpn7,Lisinopril,High Blood Pressure,10,1
xn59h5d0,Vyvanse,ADHD,9,1
qqmmyt77,Bupropion / naltrexone,Obesity,4,0
chpxl0uw,Zegerid,GERD,10,1
1bvsn9e8,Armodafinil,Narcolepsy,7,0
010vptx3,Mometasone,Eczema,10,1
qxhujttt,Orlistat,Obesity,3,0
5c91xnhz,Pregabalin,Diabetic Peripheral Neuropathy,10,1
fjnhoai4,Etonogestrel,Birth Control,1,0
a5x8bmfr,Venlafaxine,Depression,2,0
xsfh0wkt,Sertraline,Depression,8,1
qyf59ghf,Pregabalin,Generalized Anxiety Disorde,2,0
ophojm43,Diethylpropion,Obesity,10,1
3uvnoahj,Tamsulosin,Benign Prostatic Hyperplasia,5,0
code9hzz,Drospirenone / ethinyl estradiol,Birth Control,8,1
4s6vxmy7,Etonogestrel,Birth Control,3,0
ayjud479,Levonorgestrel,Emergency Contraception,10,1
kk2zu9gq,Bactrim DS,Urinary Tract Infection,1,0
j99cgsjt,Lisinopril,High Blood Pressure,5,0
xqqn1t4e,Nexplanon,Birth Control,2,0
46lxtujx,Oxycodone,Pain,10,1
a6xrs0jy,Buprenorphine / naloxone,Opiate Dependence,10,1
fmbk0843,Methylphenidate,ADHD,8,1
hmspvp6l,Limbrel,Osteoarthritis,2,0
bqbxjofk,Escitalopram,Anxiety,9,1
vyayyk50,Nitrofurantoin,Urinary Tract Infection,1,0
h2t93wkt,Verapamil,Arrhythmia,6,0
z0qzgu5m,Toradol,Pain,10,1
ymmcz358,Premarin,Primary Ovarian Failure,5,0
xk77u4g0,Ethinyl estradiol / norethindrone,Birth Control,1,0
ngm3sj1n,Sronyx,Birth Control,2,0
07amiydg,Pentazocine,Pain,10,1
vtlz9xid,Apremilast,Psoriatic Arthritis,7,0
o6bkxn7l,Chantix,Smoking Cessation,10,1
itrv27tm,Paroxetine,Depression,8,1
fh81rxy3,Neurontin,Pain,1,0
b35wzqb0,Ciclesonide,"Asthma, Maintenance",7,0
2fb4z0dr,Microgestin Fe 1 / 20,Acne,4,0
t6zf5k99,Concerta,ADHD,9,1
6duc06et,Contrave,Obesity,4,0
ocxxzf49,Amphetamine / dextroamphetamine,ADHD,1,0
2zanmu5z,Amphetamine / dextroamphetamine,ADHD,10,1
gmupz1gf,Canagliflozin,"Diabetes, Type 2",1,0
c3kngf3f,Megestrol,Weight Loss,9,1
5xyt8d5u,Sronyx,Birth Control,7,0
yqc43a5t,Paxil,Depression,4,0
z74suepj,Nitrofurantoin,Bladder Infection,4,0
el9znvy1,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,5,0
5em5bydx,Plan B One-Step,Emergency Contraception,10,1
tnt25mnu,Escitalopram,Depression,9,1
98e02f3b,Montelukast,Asthma,4,0
yxkfbde5,LoSeasonique,Birth Control,5,0
e220ut9u,Acyclovir,Cold Sores,10,1
dyr3pkvz,Mirtazapine,Anxiety,10,1
46idf595,Flagyl,Diverticulitis,9,1
qp13h0un,Nexplanon,Birth Control,4,0
5l7516xp,Propranolol,mance Anxiety,10,1
efhnptt9,Otezla,Plaque Psoriasis,9,1
d1n6eayo,Acetaminophen / aspirin / caffeine,Migraine,10,1
bhjc1jcs,Lexapro,Anxiety,2,0
7zngkwoh,Celexa,Depression,8,1
lli6mt29,VESIcare,Overactive Bladde,1,0
je66bmzu,Zenzedi,ADHD,10,1
5qlazrhw,Ethinyl estradiol / levonorgestrel,Birth Control,1,0
dll2zv8s,Levonorgestrel,Emergency Contraception,10,1
6zlizqe9,Etonogestrel,Birth Control,10,1
rq9hmjsx,Zyprexa,Schizoaffective Disorde,1,0
4fs724wn,Gabapentin,Pain,4,0
ew0su2rh,Trintellix,Major Depressive Disorde,10,1
ozsze4c3,Wellbutrin,Depression,10,1
vuonolxg,Pantoprazole,GERD,1,0
8ywd6j2b,Sprintec,Birth Control,1,0
qw774m48,Pristiq,Obesity,8,1
xtwomrgw,Phosphorated carbohydrate solution,Nausea/Vomiting,10,1
kew3dyg8,Gabapentin,ibromyalgia,8,1
o8zh8nl1,"Influenza virus vaccine, live, trivalent",Influenza Prophylaxis,6,0
b720w9ee,Lexapro,Anxiety,1,0
e4hmo4yc,Deplin,Depression,10,1
5d8hi2pe,Armodafinil,Chronic Fatigue Syndrome,8,1
1xgmqwao,Methylprednisolone,"Gout, Acute",9,1
d5t0vfsl,Bupropion / naltrexone,Obesity,7,0
tuhesrpb,Linaclotide,"Constipation, Chronic",1,0
5y1qgjr8,Etonogestrel,Birth Control,5,0
2qcp13dt,Etonogestrel,Birth Control,9,1
uxeb72ud,Dimenhydrinate,Motion Sickness,10,1
4aaz9er5,Invega,Bipolar Disorde,10,1
jzoh4d3m,Belviq,Obesity,7,0
kex1pe6f,Hyaluronan,Osteoarthritis,9,1
0irr4tnw,Ethinyl estradiol / norgestimate,Birth Control,10,1
ujoil8pq,Cutar,Seborrheic Dermatitis,7,0
fqfhzo7z,Levonorgestrel,Birth Control,8,1
pq75mafr,Temazepam,Insomnia,5,0
zdddiwsy,Duloxetine,Pain,8,1
k5o04w9v,Serzone,Depression,10,1
6njb1kdv,Suprep Bowel Prep Kit,Bowel Preparation,10,1
vp96izcs,Zoloft,Obsessive Compulsive Disorde,10,1
hp8bzwcq,Desogestrel / ethinyl estradiol,Birth Control,9,1
g8iz65wm,Abilify,Agitated State,7,0
xchvlphf,Biaxin XL,Pneumonia,9,1
4z0dqyu1,Coreg,Heart Failure,9,1
xk5igdwo,Nitrofurantoin,Urinary Tract Infection,8,1
bqpchl7q,Adderall,atigue,8,1
b358eb10,Cryselle,Birth Control,1,0
